##############################################################################
                            PAGE RANK ALGORITHM                               
##############################################################################

This program computes the Page Rank of a network of airports and flights
Page Rank algorithm uses the following parameters:
	 - MAX_ITERATIONS = 100
	 - DAMPING_FACTOR = 0.85
	 - EPSILON = 1e-05

##############################################################################

Reading Airport file from airports.txt
There were 5740 airports with a valid IATA code
There were 1923 airports with an invalid IATA code

Reading Routes file from routes.txt
There were 68292 valid routes
There were 528 invalid routes

##############################################################################

Results:
Rank	IATA	PageRank	Name
   1	ORD 	0.00354837	Chicago Ohare Intl, United States
   2	LAX 	0.00354513	Los Angeles Intl, United States
   3	DEN 	0.00353006	Denver Intl, United States
   4	LHR 	0.00276881	Heathrow, United Kingdom
   5	ATL 	0.00272092	Hartsfield Jackson Atlanta Intl, United States
   6	CDG 	0.00268065	Charles De Gaulle, France
   7	SIN 	0.00267421	Changi Intl, Singapore
   8	PEK 	0.00267207	Capital Intl, China
   9	FRA 	0.00261169	Frankfurt Main, Germany
  10	SYD 	0.00251382	Sydney Intl, Australia
  11	DFW 	0.00245250	Dallas Fort Worth Intl, United States
  12	JFK 	0.00243527	John F Kennedy Intl, United States
  13	AMS 	0.00240554	Schiphol, Netherlands
  14	DME 	0.00234408	Domododevo, Russia
  15	YYZ 	0.00223420	Lester B Pearson Intl, Canada
  16	ICN 	0.00221775	Incheon Intl, South Korea
  17	DXB 	0.00221633	Dubai Intl, United Arab Emirates
  18	PVG 	0.00209534	Pudong, China
  19	IST 	0.00207630	Ataturk, Turkey
  20	BCN 	0.00206951	Barcelona, Spain
  21	HKG 	0.00199052	Hong Kong Intl, Hong Kong
  22	BOG 	0.00190514	Eldorado Intl, Colombia
  23	BKK 	0.00188732	Suvarnabhumi Intl, Thailand
  24	MIA 	0.00186418	Miami Intl, United States
  25	MEX 	0.00185388	Licenciado Benito Juarez Intl, Mexico
  26	FCO 	0.00184493	Fiumicino, Italy
  27	BNE 	0.00181964	Brisbane Intl, Australia
  28	LGW 	0.00180174	Gatwick, United Kingdom
  29	SFO 	0.00179667	San Francisco Intl, United States
  30	MUC 	0.00178266	Franz Josef Strauss, Germany
  31	IAH 	0.00177754	George Bush Intercontinental, United States
  32	KUL 	0.00176533	Kuala Lumpur Intl, Malaysia
  33	MAD 	0.00175652	Barajas, Spain
  34	DEL 	0.00175146	Indira Gandhi Intl, India
  35	CLT 	0.00174375	Charlotte Douglas Intl, United States
  36	SEA 	0.00174270	Seattle Tacoma Intl, United States
  37	MSP 	0.00173730	Minneapolis St Paul Intl, United States
  38	NRT 	0.00171291	Narita Intl, Japan
  39	MNL 	0.00171238	Ninoy Aquino Intl, Philippines
  40	VIE 	0.00168916	Schwechat, Austria
  41	LED 	0.00168715	Pulkovo, Russia
  42	CAN 	0.00161087	Baiyun Intl, China
  43	LAS 	0.00160131	Mc Carran Intl, United States
  44	AEP 	0.00157433	Aeroparque Jorge Newbery, Argentina
  45	GRU 	0.00157361	Guarulhos Gov Andre Franco Montouro, Brazil
  46	JNB 	0.00153240	Johannesburg Intl, South Africa
  47	MAN 	0.00152172	Manchester, United Kingdom
  48	PMI 	0.00150539	Son Sant Joan, Spain
  49	BOM 	0.00150353	Chhatrapati Shivaji Intl, India
  50	EWR 	0.00150134	Newark Liberty Intl, United States
  51	BRU 	0.00149830	Brussels Natl, Belgium
  52	YVR 	0.00149282	Vancouver Intl, Canada
  53	DUS 	0.00148505	Dusseldorf, Germany
  54	CGK 	0.00145971	Soekarno Hatta Intl, Indonesia
  55	CTU 	0.00144536	Shuangliu, China
  56	DTW 	0.00144301	Detroit Metro Wayne Co, United States
  57	KMG 	0.00142888	Wujiaba, China
  58	MEL 	0.00142537	Melbourne Intl, Australia
  59	IAD 	0.00140936	Washington Dulles Intl, United States
  60	MCO 	0.00140753	Orlando Intl, United States
  61	ANC 	0.00139551	Ted Stevens Anchorage Intl, United States
  62	AUH 	0.00139192	Abu Dhabi Intl, United Arab Emirates
  63	TPE 	0.00138663	Taoyuan Intl, Taiwan
  64	PHL 	0.00138523	Philadelphia Intl, United States
  65	CPH 	0.00138411	Kastrup, Denmark
  66	AKL 	0.00138318	Auckland Intl, New Zealand
  67	PHX 	0.00137586	Phoenix Sky Harbor Intl, United States
  68	ZRH 	0.00135654	Zurich, Switzerland
  69	HND 	0.00135035	Tokyo Intl, Japan
  70	BOS 	0.00134277	General Edward Lawrence Logan Intl, United States
  71	YUL 	0.00132869	Pierre Elliott Trudeau Intl, Canada
  72	SVO 	0.00131959	Sheremetyevo, Russia
  73	LIM 	0.00129594	Jorge Chavez Intl, Peru
  74	OSL 	0.00129349	Gardermoen, Norway
  75	FLL 	0.00127612	Fort Lauderdale Hollywood Intl, United States
  76	ORY 	0.00126152	Orly, France
  77	ARN 	0.00125139	Arlanda, Sweden
  78	XIY 	0.00124784	Xianyang, China
  79	BET 	0.00123531	Bethel, United States
  80	HEL 	0.00116632	Helsinki Vantaa, Finland
  81	JED 	0.00116075	King Abdulaziz Intl, Saudi Arabia
  82	MXP 	0.00114737	Malpensa, Italy
  83	BSB 	0.00112973	Presidente Juscelino Kubitschek, Brazil
  84	LIS 	0.00112575	Lisboa, Portugal
  85	CKG 	0.00112258	Jiangbei, China
  86	NBO 	0.00110162	Jomo Kenyatta International, Kenya
  87	ATH 	0.00107326	Eleftherios Venizelos Intl, Greece
  88	HGH 	0.00105807	Xiaoshan, China
  89	THR 	0.00105221	Mehrabad Intl, Iran
  90	HNL 	0.00104854	Honolulu Intl, United States
  91	CAI 	0.00103373	Cairo Intl, Egypt
  92	DUB 	0.00103290	Dublin, Ireland
  93	SZX 	0.00102799	Baoan Intl, China
  94	RUH 	0.00101992	King Khaled Intl, Saudi Arabia
  95	ADD 	0.00101633	Bole Intl, Ethiopia
  96	TXL 	0.00101481	Tegel, Germany
  97	SLC 	0.00100233	Salt Lake City Intl, United States
  98	PER 	0.00099593	Perth Intl, Australia
  99	PPT 	0.00098853	Faa\\'a International, French Polynesia
 100	POM 	0.00098531	Port Moresby Jacksons Intl, Papua New Guinea
 101	DOH 	0.00096584	Doha Intl, Qatar
 102	SHA 	0.00094936	Hongqiao Intl, China
 103	URC 	0.00094925	Diwopu, China
 104	CUN 	0.00094020	Cancun Intl, Mexico
 105	AGP 	0.00093400	Malaga, Spain
 106	XMN 	0.00093104	Gaoqi, China
 107	PDX 	0.00092399	Portland Intl, United States
 108	YYC 	0.00091421	Calgary Intl, Canada
 109	HIR 	0.00091341	Honiara International, Solomon Islands
 110	SCL 	0.00090435	Arturo Merino Benitez Intl, Chile
 111	MDW 	0.00088947	Chicago Midway Intl, United States
 112	BWI 	0.00088877	Baltimore Washington Intl, United States
 113	GIG 	0.00088798	Galeao Antonio Carlos Jobim, Brazil
 114	LGA 	0.00088716	La Guardia, United States
 115	FAI 	0.00088574	Fairbanks Intl, United States
 116	KIX 	0.00087349	Kansai, Japan
 117	STN 	0.00086649	Stansted, United Kingdom
 118	STL 	0.00086460	Lambert St Louis Intl, United States
 119	SAW 	0.00085552	Sabiha Gokcen, Turkey
